\warm up \new tomorrow; D2 No me toques. Use 4/4 plié
\Plie \Moszkowski \Pensée fugitive \4,ABCD'
\Tendu \ \Un requierdo \4,ABCA use Pink p.8
\Tendu 2 \ \WedB.03 morphed
\Jete2 \ \voi che \4,ABCD ABCD
\RdJT \Pink p.10 \2,ABCD XY :||
\Fondu \Tchaikovsky \Pink p.11 Chanson triste Op.40 No.2 \2,ABAB or 2,ABCD'
\Frappé \ \Pink p.13 \4,ABAB
\Adage \Chopin \Nocturne Op.32 No.1. Pink p.32 \2,ABAB'
\GB \Nowakowski \Op.15 No.6 \4,AABC

\Tendu \ \Pink p.20 \4,ABAB CDEF
\Fondu \ \Pink p.26 \2,ABCD
\MonC.13 \Bournonville \MonC.13 \
\Swanhilda \ \Act 3 or 2, Coppelia VIII Danse de féte
\Italian fouetté \ \Frescos

\Changement jumps \ \pink p.34
\Échappé \ p.38; D2 in 2 - what is it on D2 - 1:15:30 napoltan dance from Swan lake
\Asm jete  ballonné  \ \not p.43 5,8564 53123 4 - D2 use p.38
\Ballonné for temps de flesh, grand assemblé \Waldteufel \Dolores No.2 , not pink p.46, NO
\Chassé basque entrelacé \ \Estudiantina
